### CONFIGURATION ##############################################################
accept_delay          :                          50 integer           (default)
address_ranges        :                             string            (default)
bootstrap_size        :                        1000 integer                    
conn_mod              :    aesim_connection_default atom              (default)
connect_delay         :                         100 integer           (default)
connect_period        :                           0 integer_infinity  (default)
disconnect_delay      :                          50 integer           (default)
first_ping_delay      :                         100 time              (default)
gossiped_neighbours   :                           8 integer                    
limit_outbound_groups :                       false boolean           (default)
max_inbound           :                        1000 integer_infinity           
max_nodes             :                        2000 integer                    
max_outbound          :                          20 integer_infinity           
max_real_time         :                    infinity time_infinity     (default)
max_sim_time          :                          3h time_infinity              
node_mod              :          aesim_node_default atom              (default)
node_start_period     :                         30s time              (default)
ping_period           :                          2m time              (default)
pong_delay            :                         100 time              (default)
pool_mod              :           aesim_pool_simple atom              (default)
progress_interval     :                          1s time              (default)
reject_delay          :                          50 integer           (default)
reject_iprob          :                          99 integer                    
rrd_enabled           :                        true boolean                    
rrd_ignore_trusted    :                       false boolean           (default)
scenario_mod          :      aesim_scenario_default atom              (default)
soft_max_inbound      :                         100 integer_infinity           
trusted_count         :                           2 integer           (default)
### SIMULATION #################################################################
PROGRESS     REAL-TIME      SIM-TIME CURR-SPEED GLOB-SPEED NODES   CONNS  EVENTS
      1%   0h00m01s000   0h01m51s200       111x       111x  1003    1038    1653
     11%   0h00m26s005   0h19m52s550        19x        46x  1039    3468    4625
     11%   0h00m27s005   0h20m17s250        25x        45x  1040    5418    6312
     11%   0h00m28s005   0h20m37s450        20x        44x  1041    5557    6692
     11%   0h00m29s005   0h20m53s150        16x        43x  1041    4004    5155
     11%   0h00m30s005   0h21m11s800        19x        42x  1042    3784    4955
     11%   0h00m31s005   0h21m28s350        17x        42x  1042    4740    5879
     12%   0h00m32s005   0h21m48s050        20x        41x  1043    4612    5574
     12%   0h00m33s005   0h22m03s500        15x        40x  1044    5090    6243
     12%   0h00m34s005   0h22m20s950        17x        39x  1044    4289    5474
     12%   0h00m35s005   0h22m38s750        18x        39x  1045    6926    8074
     12%   0h00m36s005   0h22m53s950        15x        38x  1045    7391    8503
     12%   0h00m37s005   0h23m09s100        15x        38x  1046    7752    8860
     13%   0h00m38s005   0h23m24s250        15x        37x  1046    7639    8751
     13%   0h00m39s006   0h23m39s250        15x        36x  1047    7163    8288
     13%   0h00m40s006   0h23m49s700        10x        36x  1047    6136    7275
     13%   0h00m41s006   0h24m00s100        10x        35x  1048    5500    6650
     13%   0h00m42s006   0h24m13s100        13x        35x  1048    5181    6350
     13%   0h00m43s006   0h24m24s850        12x        34x  1048    7004    8091
     13%   0h00m44s006   0h24m35s300        10x        34x  1049    6125    7241
     13%   0h00m45s006   0h24m45s600        10x        33x  1049    5881    7014
     13%   0h00m46s006   0h24m55s450        10x        33x  1049    6053    7179
     13%   0h00m47s006   0h25m05s750        10x        32x  1050    6143    7269
     14%   0h00m48s006   0h25m15s750        10x        32x  1050    6419    7536
     14%   0h00m49s006   0h25m25s850        10x        31x  1050    6432    7538
     14%   0h00m50s006   0h25m40s600        15x        31x  1051    8760    9818
     14%   0h00m51s007   0h25m52s650        12x        30x  1051    6125    7260
     14%   0h00m52s028   0h26m05s900        13x        30x  1052    7095    8196
     14%   0h00m53s028   0h26m16s750        11x        30x  1052    6477    7603
     14%   0h00m54s028   0h26m26s500        10x        29x  1052    6717    7828
     14%   0h00m55s028   0h26m36s650        10x        29x  1053    6761    7876
     14%   0h00m56s028   0h26m46s500        10x        29x  1053    7479    8570
     14%   0h00m57s028   0h26m56s350        10x        28x  1053    9522   10560
     15%   0h00m58s028   0h27m06s200        10x        28x  1054    7775    8758
     15%   0h00m59s028   0h27m12s200         6x        28x  1054    7098    8205
     15%   0h01m00s028   0h27m21s800        10x        27x  1054    7792    8886
     15%   0h01m01s028   0h27m31s650        10x        27x  1055    8645    9735
     15%   0h01m02s028   0h27m38s550         7x        27x  1055    7174    8295
     15%   0h01m03s028   0h27m47s100         9x        26x  1055    7896    8995
     15%   0h01m04s028   0h27m56s800        10x        26x  1055    9469   10541
     15%   0h01m05s028   0h28m06s800        10x        26x  1056    8102    9100
     15%   0h01m06s028   0h28m13s150         6x        26x  1056    7610    8724
     15%   0h01m07s028   0h28m24s800        12x        25x  1056    7618    8745
     15%   0h01m08s029   0h28m33s000         8x        25x  1057    7868    8984
     15%   0h01m09s029   0h28m42s550        10x        25x  1057    9549   10605
     16%   0h01m10s029   0h28m52s550        10x        25x  1057    8443    9540
     16%   0h01m11s029   0h28m58s900         6x        24x  1057    8050    9157
     16%   0h01m12s029   0h29m08s000         9x        24x  1058    8576    9662
     16%   0h01m13s029   0h29m17s850        10x        24x  1058    9734   10799
     16%   0h01m14s029   0h29m23s900         6x        24x  1058    8336    9430
     16%   0h01m15s029   0h29m33s000         9x        24x  1059   10562   11577
     16%   0h01m16s029   0h29m39s800         7x        23x  1059    8461    9549
     16%   0h01m17s029   0h29m48s250         8x        23x  1059    9768   10822
     16%   0h01m18s029   0h29m55s900         8x        23x  1059    8605    9696
     16%   0h01m19s029   0h30m03s450         8x        23x  1060   10045   11056
     16%   0h01m20s029   0h30m13s250        10x        23x  1060   10697   11725
     16%   0h01m21s029   0h30m19s600         6x        22x  1060    8977   10042
     16%   0h01m22s029   0h30m28s600         9x        22x  1060   10351   11367
     17%   0h01m23s029   0h30m38s300        10x        22x  1061   10171   11122
     17%   0h01m24s029   0h30m44s050         6x        22x  1061    9896   10902
     17%   0h01m25s029   0h30m53s600        10x        22x  1061   10731   11657
     17%   0h01m26s095   0h30m59s150         5x        22x  1061   10025   11028
     17%   0h01m27s095   0h31m09s050        10x        21x  1062   10634   11615
     17%   0h01m28s095   0h31m16s100         7x        21x  1062    9558   10601
     17%   0h01m29s095   0h31m24s250         8x        21x  1062   10568   11574
     17%   0h01m30s100   0h31m30s450         6x        21x  1063    9838   10855
     17%   0h01m31s100   0h31m39s200         9x        21x  1063   10441   11453
     17%   0h01m32s100   0h31m44s650         5x        21x  1063   10534   11507
     17%   0h01m33s100   0h31m53s800         9x        21x  1063   10010   11030
     17%   0h01m34s100   0h31m59s500         6x        20x  1063   11720   12660
     17%   0h01m35s100   0h32m05s850         6x        20x  1064   10281   11278
     17%   0h01m36s100   0h32m14s650         9x        20x  1064   11805   12758
     17%   0h01m37s100   0h32m22s950         8x        20x  1064   10395   11399
     18%   0h01m38s100   0h32m29s950         7x        20x  1064   11487   12437
     18%   0h01m39s100   0h32m39s600        10x        20x  1065   11446   12346
     18%   0h01m40s100   0h32m45s250         6x        20x  1065   11386   12335
     18%   0h01m41s105   0h32m54s950        10x        20x  1065   11636   12603
     18%   0h01m42s105   0h33m00s400         5x        19x  1066   11261   12216
     18%   0h01m43s105   0h33m09s800         9x        19x  1066   11575   12480
     18%   0h01m44s105   0h33m15s400         6x        19x  1066   11980   12921
     18%   0h01m45s105   0h33m21s900         7x        19x  1066   11089   12049
     18%   0h01m46s105   0h33m30s250         8x        19x  1067   12566   13457
     18%   0h01m47s105   0h33m35s850         6x        19x  1067   11865   12774
     18%   0h01m48s105   0h33m44s400         9x        19x  1067   11257   12223
     18%   0h01m49s105   0h33m50s850         6x        19x  1067   12413   13314
     18%   0h01m50s105   0h33m57s650         7x        19x  1067   11463   12410
     18%   0h01m51s105   0h34m05s850         8x        18x  1068   13094   13953
     19%   0h01m52s105   0h34m13s550         8x        18x  1068   11582   12521
     19%   0h01m53s105   0h34m21s150         8x        18x  1068   12581   13447
     19%   0h01m54s105   0h34m30s800        10x        18x  1069   12852   13734
     19%   0h01m55s105   0h34m37s450         7x        18x  1069   11889   12796
     19%   0h01m56s105   0h34m46s300         9x        18x  1069   12715   13572
     19%   0h01m57s105   0h34m55s850        10x        18x  1069   12370   13204
     19%   0h01m58s105   0h35m02s150         6x        18x  1070   12168   13061
     19%   0h01m59s105   0h35m11s450         9x        18x  1070   13197   14062
     19%   0h02m00s105   0h35m17s950         7x        18x  1070   12212   13100
     19%   0h02m01s105   0h35m26s600         9x        18x  1070   13080   13954
     19%   0h02m02s105   0h35m32s800         6x        17x  1071   12431   13291
     19%   0h02m03s105   0h35m41s600         9x        17x  1071   13364   14201
     19%   0h02m04s105   0h35m47s200         6x        17x  1071   12910   13739
     19%   0h02m05s105   0h35m56s150         9x        17x  1071   12509   13377
     20%   0h02m06s105   0h36m02s150         6x        17x  1072   13254   14079
     20%   0h02m07s105   0h36m11s600         9x        17x  1072   13094   13875
     20%   0h02m08s105   0h36m17s450         6x        17x  1072   13142   13969
     20%   0h02m09s105   0h36m27s200        10x        17x  1072   13496   14318
     20%   0h02m10s105   0h36m34s300         7x        17x  1073   12910   13742
     20%   0h02m11s105   0h36m42s950         9x        17x  1073   13164   13976
     20%   0h02m12s105   0h36m52s500        10x        17x  1073   14102   14877
     20%   0h02m13s105   0h37m02s300        10x        17x  1074   14013   14824
     20%   0h02m14s113   0h37m11s200         9x        17x  1074   13162   13989
     20%   0h02m15s117   0h37m18s350         7x        17x  1074   13422   14223
     20%   0h02m16s117   0h37m27s900        10x        17x  1074   14002   14781
     20%   0h02m17s123   0h37m35s950         8x        16x  1075   13373   14181
     20%   0h02m18s123   0h37m43s400         7x        16x  1075   13773   14538
     21%   0h02m19s123   0h37m50s300         7x        16x  1075   13503   14300
     21%   0h02m20s123   0h37m58s700         8x        16x  1075   13894   14641
     21%   0h02m21s123   0h38m08s950        10x        16x  1076   13803   14582
     21%   0h02m22s123   0h38m18s400         9x        16x  1076   14334   15100
     21%   0h02m23s131   0h38m28s250        10x        16x  1076   14189   14958
     21%   0h02m24s131   0h38m37s150         9x        16x  1077   13845   14624
     21%   0h02m25s131   0h38m45s950         9x        16x  1077   13932   14705
     21%   0h02m26s131   0h38m54s900         9x        16x  1077   14059   14805
     21%   0h02m27s131   0h39m04s300         9x        16x  1078   14331   15059
     21%   0h02m28s131   0h39m14s000        10x        16x  1078   14671   15378
     21%   0h02m29s131   0h39m23s700        10x        16x  1078   14581   15315
     21%   0h02m30s131   0h39m31s900         8x        16x  1079   14273   15006
     22%   0h02m31s131   0h39m39s600         8x        16x  1079   14644   15332
     22%   0h02m32s131   0h39m49s000         9x        16x  1079   15207   15912
     22%   0h02m33s131   0h39m56s250         7x        16x  1079   14479   15189
     22%   0h02m34s131   0h40m05s000         9x        16x  1080   14708   15401
     22%   0h02m35s138   0h40m14s600        10x        16x  1080   15223   15887
     22%   0h02m36s141   0h40m24s450        10x        16x  1080   15535   16193
     22%   0h02m37s141   0h40m33s650         9x        15x  1081   14694   15398
     22%   0h02m38s141   0h40m42s250         9x        15x  1081   14776   15462
     22%   0h02m39s141   0h40m50s800         9x        15x  1081   14890   15566
     22%   0h02m40s141   0h41m00s300        10x        15x  1082   15169   15839
     22%   0h02m41s141   0h41m10s300        10x        15x  1082   15259   15915
     22%   0h02m42s141   0h41m19s900        10x        15x  1082   15488   16123
     23%   0h02m43s141   0h41m29s850        10x        15x  1082   15418   16025
     23%   0h02m44s141   0h41m37s600         8x        15x  1083   15117   15768
     23%   0h02m45s141   0h41m46s300         9x        15x  1083   15224   15858
     23%   0h02m46s143   0h41m55s900        10x        15x  1083   15483   16097
     23%   0h02m47s143   0h42m05s650        10x        15x  1084   15921   16519
     23%   0h02m48s143   0h42m15s650        10x        15x  1084   16120   16717
     23%   0h02m49s143   0h42m25s950        10x        15x  1084   15824   16427
     23%   0h02m50s143   0h42m36s000        10x        15x  1085   15770   16376
     23%   0h02m51s143   0h42m46s550        11x        15x  1085   15639   16239
     23%   0h02m52s146   0h42m57s300        11x        15x  1085   15610   16213
     23%   0h02m53s146   0h43m07s150        10x        15x  1086   15722   16312
     24%   0h02m54s146   0h43m19s100        12x        15x  1086   15655   16258
     24%   0h02m55s153   0h43m27s450         8x        15x  1086   15764   16356
     24%   0h02m56s153   0h43m37s550        10x        15x  1087   15810   16401
     24%   0h02m57s153   0h43m52s150        15x        15x  1087   16028   16596
     24%   0h02m58s153   0h44m03s000        11x        15x  1088   15956   16516
     24%   0h02m59s153   0h44m14s550        12x        15x  1088   15989   16551
     24%   0h03m00s153   0h44m26s300        12x        15x  1088   16006   16573
     24%   0h03m01s153   0h44m37s300        11x        15x  1089   16395   16938
     24%   0h03m02s153   0h44m50s200        13x        15x  1089   16103   16658
     25%   0h03m03s153   0h45m02s300        12x        15x  1090   16505   17034
     25%   0h03m04s153   0h45m12s900        11x        15x  1090   16365   16898
     25%   0h03m05s153   0h45m24s550        12x        15x  1090   16246   16791
     25%   0h03m06s153   0h45m36s650        12x        15x  1091   16282   16823
     25%   0h03m07s153   0h45m47s750        11x        15x  1091   16472   17005
     25%   0h03m08s153   0h45m58s350        11x        15x  1091   16587   17093
     25%   0h03m09s153   0h46m09s400        11x        15x  1092   16452   16978
     25%   0h03m10s153   0h46m22s750        13x        15x  1092   16587   17105
     25%   0h03m11s153   0h46m33s500        11x        15x  1093   16780   17282
     25%   0h03m12s153   0h46m44s950        11x        15x  1093   16580   17100
     26%   0h03m13s153   0h46m58s350        13x        15x  1093   16852   17366
     26%   0h03m14s153   0h47m08s500        10x        15x  1094   16949   17451
     26%   0h03m15s153   0h47m19s100        11x        15x  1094   16818   17320
     26%   0h03m16s155   0h47m29s400        10x        15x  1094   16845   17324
     26%   0h03m17s155   0h47m41s350        12x        15x  1095   16755   17243
     26%   0h03m18s155   0h47m52s700        11x        14x  1095   16796   17283
     26%   0h03m19s155   0h48m03s950        11x        14x  1096   16953   17434
     26%   0h03m20s155   0h48m14s550        11x        14x  1096   17080   17540
     26%   0h03m21s155   0h48m24s800        10x        14x  1096   17084   17540
     26%   0h03m22s155   0h48m35s900        11x        14x  1097   16990   17442
     27%   0h03m23s155   0h48m49s150        13x        14x  1097   17269   17699
     27%   0h03m24s158   0h49m00s000        11x        14x  1097   17160   17611
     27%   0h03m25s158   0h49m10s600        11x        14x  1098   17150   17592
     27%   0h03m26s158   0h49m21s600        11x        14x  1098   17121   17568
     27%   0h03m27s158   0h49m33s150        12x        14x  1099   17145   17594
     27%   0h03m28s158   0h49m44s650        12x        14x  1099   17157   17597
     27%   0h03m29s158   0h49m54s550        10x        14x  1099   17196   17635
     27%   0h03m30s158   0h50m04s550        10x        14x  1100   17255   17689
     27%   0h03m31s158   0h50m14s700        10x        14x  1100   17278   17706
     28%   0h03m32s158   0h50m25s400        11x        14x  1100   17468   17887
     28%   0h03m33s158   0h50m35s900        11x        14x  1101   17472   17892
     28%   0h03m34s158   0h50m47s750        12x        14x  1101   17395   17815
     28%   0h03m35s158   0h51m00s050        12x        14x  1102   17390   17810
     28%   0h03m36s158   0h51m11s650        12x        14x  1102   17499   17905
     28%   0h03m37s158   0h51m23s900        12x        14x  1102   17461   17877
     28%   0h03m38s158   0h51m36s350        12x        14x  1103   17601   18016
     28%   0h03m39s158   0h51m49s650        13x        14x  1103   17510   17926
     28%   0h03m40s158   0h52m01s450        12x        14x  1104   17768   18167
     28%   0h03m41s158   0h52m11s800        10x        14x  1104   17751   18157
     29%   0h03m42s158   0h52m22s400        11x        14x  1104   17691   18087
     29%   0h03m43s158   0h52m35s500        13x        14x  1105   17643   18043
     29%   0h03m44s166   0h52m47s050        11x        14x  1105   17792   18182
     29%   0h03m45s166   0h52m59s100        12x        14x  1105   17696   18087
     29%   0h03m46s172   0h53m12s250        13x        14x  1106   17892   18272
     29%   0h03m47s172   0h53m23s700        11x        14x  1106   17753   18141
     29%   0h03m48s172   0h53m33s750        10x        14x  1107   17780   18167
     29%   0h03m49s172   0h53m52s700        19x        14x  1107   17948   18328
     30%   0h03m50s172   0h54m06s800        14x        14x  1108   17854   18234
     30%   0h03m51s172   0h54m19s750        13x        14x  1108   17916   18289
     30%   0h03m52s172   0h54m35s800        16x        14x  1109   17945   18317
     30%   0h03m53s172   0h54m51s000        15x        14x  1109   17984   18361
     30%   0h03m54s172   0h55m06s050        15x        14x  1110   18022   18393
     30%   0h03m55s172   0h55m21s150        15x        14x  1110   18036   18401
     30%   0h03m56s172   0h55m35s750        15x        14x  1111   18085   18443
     31%   0h03m57s172   0h55m48s850        13x        14x  1111   18226   18578
     31%   0h03m58s172   0h56m01s650        13x        14x  1112   18126   18488
     31%   0h03m59s172   0h56m14s400        13x        14x  1112   18221   18576
     31%   0h04m00s172   0h56m28s750        14x        14x  1112   18331   18686
     31%   0h04m01s178   0h56m43s650        15x        14x  1113   18219   18576
     31%   0h04m02s178   0h56m56s850        13x        14x  1113   18255   18607
     31%   0h04m03s178   0h57m10s300        13x        14x  1114   18286   18641
     31%   0h04m04s178   0h57m25s500        15x        14x  1114   18310   18666
     32%   0h04m05s178   0h57m39s800        14x        14x  1115   18437   18787
     32%   0h04m06s178   0h57m53s100        13x        14x  1115   18346   18692
     32%   0h04m07s178   0h58m05s550        12x        14x  1116   18466   18798
     32%   0h04m08s178   0h58m17s750        12x        14x  1116   18398   18747
     32%   0h04m09s178   0h58m30s900        13x        14x  1117   18495   18830
     32%   0h04m10s178   0h58m43s350        12x        14x  1117   18454   18794
     32%   0h04m11s178   0h59m00s250        17x        14x  1118   18610   18946
     32%   0h04m12s178   0h59m19s700        19x        14x  1118   18501   18846
     33%   0h04m13s178   0h59m35s100        15x        14x  1119   18537   18880
     33%   0h04m14s178   0h59m50s350        15x        14x  1119   18572   18911
     33%   0h04m15s178   1h00m03s400        13x        14x  1120   18596   18925
     33%   0h04m16s178   1h00m17s950        15x        14x  1120   18653   18973
     33%   0h04m17s178   1h00m32s650        15x        14x  1121   18690   19010
     33%   0h04m18s181   1h00m47s800        15x        14x  1121   18688   19013
     33%   0h04m19s181   1h01m02s950        15x        14x  1122   18723   19044
     34%   0h04m20s181   1h01m18s800        16x        14x  1122   18728   19045
     34%   0h04m21s181   1h01m32s850        14x        14x  1123   18764   19080
     34%   0h04m22s181   1h01m48s200        15x        14x  1123   18775   19095
     34%   0h04m23s181   1h02m03s350        15x        14x  1124   18818   19139
     34%   0h04m24s181   1h02m17s600        14x        14x  1124   18923   19244
     34%   0h04m25s181   1h02m32s100        15x        14x  1125   18845   19172
     34%   0h04m26s181   1h02m47s800        16x        14x  1125   19050   19367
     35%   0h04m27s181   1h03m03s100        15x        14x  1126   19053   19366
     35%   0h04m28s181   1h03m17s950        15x        14x  1126   19148   19464
     35%   0h04m29s181   1h03m30s500        13x        14x  1127   18953   19265
     35%   0h04m30s181   1h03m45s500        15x        14x  1127   18981   19294
     35%   0h04m31s181   1h03m58s000        13x        14x  1127   19007   19316
     35%   0h04m32s181   1h04m10s650        13x        14x  1128   19038   19341
     35%   0h04m33s181   1h04m24s850        14x        14x  1128   19061   19358
     35%   0h04m34s181   1h04m39s600        15x        14x  1129   19100   19396
     36%   0h04m35s181   1h04m53s150        14x        14x  1129   19081   19374
     36%   0h04m36s181   1h05m08s350        15x        14x  1130   19118   19408
     36%   0h04m37s181   1h05m22s300        14x        14x  1130   19128   19415
     36%   0h04m38s181   1h05m36s100        14x        14x  1131   19146   19431
     36%   0h04m39s181   1h05m49s650        14x        14x  1131   19235   19523
     36%   0h04m40s181   1h06m03s450        14x        14x  1132   19180   19465
     36%   0h04m41s181   1h06m15s600        12x        14x  1132   19232   19513
     36%   0h04m42s181   1h06m30s050        14x        14x  1133   19352   19636
     37%   0h04m43s181   1h06m45s150        15x        14x  1133   19359   19641
     37%   0h04m44s181   1h06m58s800        14x        14x  1133   19276   19556
     37%   0h04m45s181   1h07m12s500        14x        14x  1134   19289   19571
     37%   0h04m46s181   1h07m25s450        13x        14x  1134   19510   19791
     37%   0h04m47s183   1h07m38s250        13x        14x  1135   19325   19606
     37%   0h04m48s183   1h07m51s100        13x        14x  1135   19395   19669
     37%   0h04m49s183   1h08m04s000        13x        14x  1136   19359   19637
     37%   0h04m50s183   1h08m17s000        13x        14x  1136   19416   19687
     38%   0h04m51s183   1h08m30s600        14x        14x  1137   19415   19689
     38%   0h04m52s183   1h08m45s450        15x        14x  1137   19431   19705
     38%   0h04m53s183   1h08m58s900        13x        14x  1137   19454   19726
     38%   0h04m54s183   1h09m13s050        14x        14x  1138   19480   19748
     38%   0h04m55s183   1h09m26s650        14x        14x  1138   19636   19900
     38%   0h04m56s183   1h09m40s800        14x        14x  1139   19488   19751
     38%   0h04m57s183   1h09m53s550        13x        14x  1139   19513   19774
     38%   0h04m58s183   1h10m05s600        12x        14x  1140   19516   19774
     39%   0h04m59s183   1h10m17s550        12x        14x  1140   19593   19850
     39%   0h05m00s183   1h10m30s200        13x        14x  1141   19557   19816
     39%   0h05m01s183   1h10m42s500        12x        14x  1141   19631   19887
     39%   0h05m02s183   1h10m55s450        13x        14x  1141   19614   19866
     39%   0h05m03s361   1h11m07s650        10x        14x  1142   19674   19924
     39%   0h05m04s361   1h11m25s000        17x        14x  1142   19646   19902
     39%   0h05m05s361   1h11m45s400        20x        14x  1143   19677   19931
     39%   0h05m06s361   1h11m59s700        14x        14x  1143   19698   19955
     40%   0h05m07s361   1h12m13s800        14x        14x  1144   19772   20020
     40%   0h05m08s361   1h12m28s500        15x        14x  1144   19908   20165
     40%   0h05m09s361   1h12m43s950        15x        14x  1145   19801   20059
     40%   0h05m10s361   1h13m00s600        17x        14x  1146   19781   20035
     40%   0h05m11s361   1h13m15s800        15x        14x  1146   19787   20038
     40%   0h05m12s361   1h13m30s300        15x        14x  1147   19814   20060
     40%   0h05m13s361   1h13m46s050        16x        14x  1147   19826   20069
     41%   0h05m14s361   1h14m00s200        14x        14x  1148   19830   20074
     41%   0h05m15s361   1h14m16s400        16x        14x  1148   19850   20090
     41%   0h05m16s361   1h14m31s150        15x        14x  1149   19877   20111
     41%   0h05m17s361   1h14m47s150        16x        14x  1149   19875   20113
     41%   0h05m18s369   1h15m02s250        15x        14x  1150   19904   20141
     41%   0h05m19s369   1h15m16s950        15x        14x  1150   19921   20155
     41%   0h05m20s369   1h15m31s150        14x        14x  1151   19932   20169
     42%   0h05m21s369   1h15m46s450        15x        14x  1151   19956   20191
     42%   0h05m22s369   1h16m00s550        14x        14x  1152   20087   20319
     42%   0h05m23s369   1h16m15s250        15x        14x  1152   19971   20207
     42%   0h05m24s369   1h16m29s600        14x        14x  1152   20008   20243
     42%   0h05m25s369   1h16m44s100        15x        14x  1153   20016   20254
     42%   0h05m26s369   1h16m58s400        14x        14x  1153   20030   20266
     42%   0h05m27s369   1h17m13s550        15x        14x  1154   20047   20282
     43%   0h05m28s369   1h17m27s300        14x        14x  1154   20079   20309
     43%   0h05m29s369   1h17m42s750        15x        14x  1155   20071   20303
     43%   0h05m30s369   1h17m56s200        13x        14x  1155   20083   20315
     43%   0h05m31s373   1h18m09s800        14x        14x  1156   20112   20337
     43%   0h05m32s374   1h18m23s850        14x        14x  1156   20117   20341
     43%   0h05m33s374   1h18m39s050        15x        14x  1157   20132   20359
     43%   0h05m34s374   1h18m52s750        14x        14x  1157   20168   20393
     43%   0h05m35s374   1h19m07s250        15x        14x  1158   20234   20452
     44%   0h05m36s374   1h19m21s550        14x        14x  1158   20171   20398
     44%   0h05m37s374   1h19m35s300        14x        14x  1159   20185   20417
     44%   0h05m38s374   1h19m47s800        13x        14x  1159   20262   20494
     44%   0h05m39s374   1h20m02s450        15x        14x  1160   20203   20439
     44%   0h05m40s374   1h20m22s500        20x        14x  1160   20219   20455
     44%   0h05m41s374   1h20m37s700        15x        14x  1161   20253   20490
     44%   0h05m42s374   1h20m53s300        16x        14x  1161   20299   20530
     45%   0h05m43s374   1h21m08s750        15x        14x  1162   20354   20588
     45%   0h05m44s374   1h21m23s800        15x        14x  1162   20378   20611
     45%   0h05m45s374   1h21m38s450        15x        14x  1163   20317   20547
     45%   0h05m46s374   1h21m52s350        14x        14x  1163   20322   20553
     45%   0h05m47s374   1h22m06s550        14x        14x  1164   20342   20572
     45%   0h05m48s374   1h22m20s400        14x        14x  1164   20372   20600
     45%   0h05m49s374   1h22m34s950        15x        14x  1165   20428   20650
     46%   0h05m50s374   1h22m49s700        15x        14x  1165   20420   20646
     46%   0h05m51s374   1h23m04s400        15x        14x  1166   20426   20649
     46%   0h05m52s374   1h23m19s800        15x        14x  1166   20525   20749
     46%   0h05m53s374   1h23m34s800        15x        14x  1167   20426   20658
     46%   0h05m54s374   1h23m48s700        14x        14x  1167   20444   20684
     46%   0h05m55s374   1h24m02s050        13x        14x  1168   20461   20701
     46%   0h05m56s374   1h24m18s550        17x        14x  1168   20480   20719
     46%   0h05m57s374   1h24m34s100        16x        14x  1169   20481   20722
     47%   0h05m58s374   1h24m50s750        17x        14x  1169   20611   20841
     47%   0h05m59s374   1h25m05s500        15x        14x  1170   20545   20780
     47%   0h06m00s396   1h25m19s850        14x        14x  1170   20555   20787
     47%   0h06m01s396   1h25m34s550        15x        14x  1171   20589   20815
     47%   0h06m02s411   1h25m48s450        14x        14x  1171   20602   20826
     47%   0h06m03s411   1h26m02s250        14x        14x  1172   20616   20839
